cos_theta_center,cos_theta_det_center,counts,omega
0.2550000000,0.4250000000,25461,0.0005092200
0.2550000000,0.4750000000,40416,0.0008083200
0.2550000000,0.5250000000,21828,0.0004365600
0.2550000000,0.5750000000,14395,0.0002879000
0.2550000000,0.6250000000,15156,0.0003031200
0.2550000000,0.6750000000,16965,0.0003393000
0.2550000000,0.7250000000,19298,0.0003859600
0.2550000000,0.7750000000,23805,0.0004761000
0.2550000000,0.8250000000,37231,0.0007446200
0.2550000000,0.8750000000,32490,0.0006498000
0.2550000000,0.9250000000,0,0.0000000000
0.2550000000,0.9750000000,0,0.0000000000
0.2650000000,0.0250000000,0,0.0000000000
0.2650000000,0.0750000000,0,0.0000000000
0.2650000000,0.1250000000,0,0.0000000000
0.2650000000,0.1750000000,0,0.0000000000
0.2650000000,0.2250000000,125,0.0000025000
0.2650000000,0.2750000000,3488,0.0000697600
0.2650000000,0.3250000000,12315,0.0002463000
0.2650000000,0.3750000000,19289,0.0003857800
0.2650000000,0.4250000000,25683,0.0005136600
0.2650000000,0.4750000000,44519,0.0008903800
0.2650000000,0.5250000000,13402,0.0002680400
0.2650000000,0.5750000000,14195,0.0002839000
0.2650000000,0.6250000000,15226,0.0003045200
0.2650000000,0.6750000000,16923,0.0003384600
0.2650000000,0.7250000000,18966,0.0003793200
0.2650000000,0.7750000000,23157,0.0004631400
0.2650000000,0.8250000000,34031,0.0006806200
0.2650000000,0.8750000000,37847,0.0007569400
0.2650000000,0.9250000000,0,0.0000000000
0.2650000000,0.9750000000,0,0.0000000000
0.2750000000,0.0250000000,0,0.0000000000
0.2750000000,0.0750000000,0,0.0000000000
0.2750000000,0.1250000000,0,0.0000000000
0.2750000000,0.1750000000,0,0.0000000000
0.2750000000,0.2250000000,66,0.0000013200
0.2750000000,0.2750000000,3392,0.0000678400
0.2750000000,0.3250000000,11998,0.0002399600
0.2750000000,0.3750000000,19213,0.0003842600
0.2750000000,0.4250000000,26254,0.0005250800
0.2750000000,0.4750000000,39946,0.0007989200
0.2750000000,0.5250000000,13518,0.0002703600
0.2750000000,0.5750000000,14138,0.0002827600
0.2750000000,0.6250000000,14942,0.0002988400
0.2750000000,0.6750000000,16581,0.0003316200
0.2750000000,0.7250000000,18768,0.0003753600
0.2750000000,0.7750000000,22809,0.0004561800
0.2750000000,0.8250000000,32663,0.0006532600
0.2750000000,0.8750000000,43006,0.0008601200
0.2750000000,0.9250000000,0,0.0000000000
0.2750000000,0.9750000000,0,0.0000000000
0.2850000000,0.0250000000,0,0.0000000000
0.2850000000,0.0750000000,0,0.0000000000
0.2850000000,0.1250000000,0,0.0000000000
0.2850000000,0.1750000000,0,0.0000000000
0.2850000000,0.2250000000,27,0.0000005400
0.2850000000,0.2750000000,3061,0.0000612200
0.2850000000,0.3250000000,11928,0.0002385600
0.2850000000,0.3750000000,19262,0.0003852400
0.2850000000,0.4250000000,26880,0.0005376000
0.2850000000,0.4750000000,35098,0.0007019600
0.2850000000,0.5250000000,13305,0.0002661000
0.2850000000,0.5750000000,14002,0.0002800400
0.2850000000,0.6250000000,15302,0.0003060400
0.2850000000,0.6750000000,16606,0.0003321200
0.2850000000,0.7250000000,18588,0.0003717600
0.2850000000,0.7750000000,22188,0.0004437600
0.2850000000,0.8250000000,30662,0.0006132400
0.2850000000,0.8750000000,47390,0.0009478000
0.2850000000,0.9250000000,0,0.0000000000
0.2850000000,0.9750000000,0,0.0000000000
0.2950000000,0.0250000000,0,0.0000000000
0.2950000000,0.0750000000,0,0.0000000000
0.2950000000,0.1250000000,0,0.0000000000
0.2950000000,0.1750000000,0,0.0000000000
0.2950000000,0.2250000000,0,0.0000000000
0.2950000000,0.2750000000,2731,0.0000546200
